Truth,Model,Critic
151 to 152,"The length of the iron rail track increases by 0.05 cm due to thermal expansion. We are given:

- Initial temperature $ T_1 = 15^\circ \text{C} $
- Final temperature $ T_2 = 45^\circ \text{C} $
- Change in temperature $ \Delta T = 45^\circ \text{C} - 15^\circ \text{C} = 30^\circ \text{C} $
- Coefficient of linear thermal expansion $ \alpha = 11.0 \times 10^{-6} \, K^{-1} $
- Change in length $ \Delta L = 0.05 \, \text{cm} $

The formula for linear thermal expansion is:

$$
\Delta L = \alpha \cdot L_0 \cdot \Delta T
$$

We solve for the original length $ L_0 $:

$$
L_0 = \frac{\Delta L}{\alpha \cdot \Delta T} = \frac{0.05}{11.0 \times 10^{-6} \cdot 30} = \frac{0.05}{3.3 \times 10^{-4}} \approx 15.15 \, \text{cm}
$$

### Final Answer: **B**",No.
1399 to 1401,"The maximum number of electron-hole pairs that can be generated using a silicon detector irradiated by x-rays is determined by the energy of the x-ray photons and the band gap of silicon.

Given:
- X-ray energy: $ E = 1.54 \, \text{keV} = 1.54 \times 10^3 \, \text{eV} $
- Band gap of silicon: $ \Delta E = 1.1 \, \text{eV} $

The maximum number of electron-hole pairs is given by the formula:

$$
N = \frac{E}{\Delta E}
$$

Substituting the values:

$$
N = \frac{1.54 \times 10^3 \, \text{eV}}{1.1 \, \text{eV}} \approx 1400
$$

The maximum number of electron-hole pairs that can be generated is:

$$
\boxed{A}
$$",yes
D,"The correct answer is: **C**.  

**Explanation:**  
A second-order phase transition involves a **discontinuity in the thermodynamic properties**, such as **volume**, **entropy**, and **heat capacity**, but **enthalpy** does not show a discontinuity during a second-order phase transition.  

Answer: **C**",No.
C,The correct answer is: **D** 1.,No.
6850 : 6950,"To find the threshold wavelength $\lambda_{\text{threshold}}$ below which a semiconductor will absorb radiation, we use the relationship between energy and wavelength:

$$
E = \frac{hc}{\lambda}
$$

We are given:
- Planck’s constant $ h = 6.626 \times 10^{-34} \, \text{J s} $
- Charge of electron $ e = 1.6 \times 10^{-19} \, \text{C} $
- Speed of light $ c = 3 \times 10^8 \, \text{m s}^{-1} $
- Bandgap energy $ E = 1.8 \, \text{eV} $

First, convert the energy from electron volts to joules:

$$
1 \, \text{eV} = 1.602 \times 10^{-19} \, \text{J}
$$

So, $ E = 1.8 \, \text{eV} = 1.8 \times 1.602 \times 10^{-19} \, \text{J} \approx 2.8836 \times 10^{-19} \, \text{J} $

Now, solve for $\lambda$:

$$
\lambda = \frac{hc}{E}
$$

Substitute values:

$$
\lambda = \frac{(6.626 \times 10^{-34} \, \text{J s})(3 \times 10^8 \, \text{m s}^{-1})}{2.8836 \times 10^{-19} \, \text{J}}
$$

$$
\lambda = \frac{1.9878 \times 10^{-25} \, \text{J m}}{2.8836 \times 10^{-19} \, \text{J}} \approx 6.82 \times 10^{-7} \, \text{m}
$$

Convert meters to Ångströms (1 Ångström = $10^{-10}$ m):

$$
\lambda \approx 6.82 \times 10^{-7} \, \text{m} = 682 \, \text{Å}
$$

### Final Answer: **A**",yes
C,"The correct answer is: **D**.

**Explanation:**  
In the photoelectric effect, electrons are emitted **only at a particular wavelength** (i.e., when the incident photon has energy equal to the work function of the material). This means that **only at a specific wavelength** (not all wavelengths) will electrons be ejected, and **only when the incident radiation has sufficient energy** to overcome the work function. This is determined by the **threshold wavelength**.  

Thus, the correct answer is: **D**.",No.
C,"The correct answer is: **D**. 

**Explanation:**  
In an indirect band gap semiconductor, an electron transitions from the valence band to the conduction band. This transition involves the emission of a photon. The energy of the electron decreases (since it moves from a higher energy level to a lower one), and a photon is emitted. A phonon is not involved in this process.

**Answer: D**.",No.
132 to 132,"The energy levels for a particle in an infinite potential well are given by:

$$
E_n = \frac{n^2 h^2}{8mL^2}
$$

where $ n $ is the quantum number (1, 2, 3, ...), $ h $ is Planck's constant, $ m $ is the mass of the particle, and $ L $ is the length of the well.

For a single particle in the infinite potential well:

$$
E_1 = \frac{1^2 h^2}{8mL^2} = \frac{h^2}{8mL^2}
$$

For two particles, the total energy is:

$$
E_2 = 2 \cdot \frac{h^2}{8mL^2} = \frac{h^2}{4mL^2}
$$

For three particles:

$$
E_3 = 3 \cdot \frac{h^2}{8mL^2} = \frac{3h^2}{8mL^2}
$$

Now, for seven particles:

$$
E_7 = 7 \cdot \frac{h^2}{8mL^2} = \frac{7h^2}{8mL^2}
$$

Since the energy scales linearly with the number of particles, the ground state energy for seven particles will be **7 times** the ground state energy for three particles.

$$
E_7 = 7 \cdot 3 = 21 \text{ meV}
$$

**Answer: A**",No.
1420 to 1480,"We are given:

- **Activation energy** $ Q = 148 \, \text{kJ/mol} = 148,000 \, \text{J/mol} $
- **Gas constant** $ R = 8.314 \, \text{J/mol·K} $
- **Time** = 1 hour
- **Case depth** doubles when the temperature is increased.

We can use the Arrhenius equation for the activation energy:

$$
\ln\left(\frac{A_2}{A_1}\right) = -\frac{Q}{R} \left( \frac{1}{T_2} - \frac{1}{T_1} \right)
$$

Since the **case depth doubles**, we can assume that the activation energy $ Q $ is constant. The time is constant, so the **case depth depends only on temperature**.

Let’s assume the initial case depth is $ d_1 $, and the final is $ d_2 = 2d_1 $. We want to find the new temperature $ T_2 $.

Using the Arrhenius equation:

$$
\frac{d_2}{d_1} = \exp\left( \frac{Q}{R} \left( \frac{1}{T_1} - \frac{1}{T_2} \right) \right)
$$

$$
2 = \exp\left( \frac{148,000}{8.314} \left( \frac{1}{T_1} - \frac{1}{T_2} \right) \right)
$$

$$
\ln(2) = \frac{148,000}{8.314} \left( \frac{1}{T_1} - \frac{1}{T_2} \right)
$$

$$
\ln(2) = 17,800 \left( \frac{1}{T_1} - \frac{1}{T_2} \right)
$$

$$
\frac{1}{T_1} - \frac{1}{T_2} = \frac{\ln(2)}{17,800} \approx \frac{0.693}{17,800} \approx 0.0000381
$$

Now solve for $ T_2 $:

$$
\frac{1}{T_2} = \frac{1}{T_1} - 0.0000381
$$

Since the activation energy is constant and the time is constant, the **case depth doubles only when temperature increases**. We can use the **Arrhenius equation** again at the new temperature $ T_2 $ to solve for $ T_2 $.

Let’s use the original Arrhenius equation:

$$
\frac{d_2}{d_1} = \exp\left( \frac{Q}{R} \left( \frac{1}{T_1} - \frac{1}{T_2} \right) \right)
$$

$$
2 = \exp\left( \frac{148,000}{8.314} \left( \frac{1}{T_1} - \frac{1}{T_2} \right) \right)
$$

$$
\ln(2) = \frac{148,000}{8.314} \left( \frac{1}{T_1} - \frac{1}{T_2} \right)
$$

$$
\frac{1}{T_1} - \frac{1}{T_2} = \frac{\ln(2)}{17,800} \approx 0.0000381
$$

Now solve for $ T_2 $:

$$
\frac{1}{T_2} = \frac{1}{T_1} - 0.0000381
$$

Let’s assume the initial temperature $ T_1 = 1300 \, \text{K} $ (as given in the problem).

$$
\frac{1}{T_2} = \frac{1}{1300} - 0.0000381 \approx 0.000769 - 0.0000381 = 0.000731
$$

$$
T_2 = \frac{1}{0.000731} \approx 1370 \, \text{K}
$$

### ✅ Final Answer:",no
C,"The correct answer is: **A**.  

GaAs has a **larger band gap** compared to silicon, which makes it more efficient at operating at low power in integrated circuits.",No.
B,"The maximum wavelength of radiation that is **opaque** to Germanium (Ge) is determined by the **energy gap** of Ge. The energy gap is given as:

$$
E_{\text{gap}} = 0.67 \, \text{eV}
$$

We use the relationship between **wavelength** and **energy**:

$$
E = \frac{hc}{\lambda}
$$

Rearranging for wavelength:

$$
\lambda = \frac{hc}{E}
$$

Substitute the values:

$$
\lambda = \frac{(6.63 \times 10^{-34} \, \text{J s})(3 \times 10^8 \, \text{m/s})}{0.67 \times 1.6 \times 10^{-19} \, \text{J}}
$$

$$
\lambda = \frac{1.989 \times 10^{-25} \, \text{J m}}{1.072 \times 10^{-19} \, \text{J}} = 1.85 \times 10^{-6} \, \text{m}
$$

Convert to micrometers:

$$
\lambda = 1.85 \times 10^{-6} \, \text{m} = 1.85 \, \mu\text{m}
$$

So the correct answer is:

$$
\boxed{\text{B}}
$$",yes
0.28 to 0.32,"We are given:

- $ A = 6 \times 10^{-20} \, \text{J} \, \text{nm}^3 $
- $ B = 2.1 \times 10^{-22} \, \text{J} \, \text{nm}^7 $

The potential energy between two atoms is:

$$
U(r) = -\frac{A}{r^3} + \frac{B}{r^7}
$$

We are asked to find the **equilibrium distance $ r $** where the potential energy is **minimum**.

### Step 1: Find the distance where the potential energy is minimum

To find the minimum, we take the derivative of $ U(r) $ with respect to $ r $, set it equal to zero, and solve:

$$
\frac{dU}{dr} = \frac{d}{dr} \left( -\frac{A}{r^3} + \frac{B}{r^7} \right)
$$

$$
\frac{dU}{dr} = \frac{3A}{r^4} - \frac{7B}{r^8}
$$

Set this equal to zero:

$$
\frac{3A}{r^4} = \frac{7B}{r^8}
$$

Multiply both sides by $ r^8 $:

$$
3A r^4 = 7B
$$

$$
r^4 = \frac{7B}{3A}
$$

$$
r = \left( \frac{7B}{3A} \right)^{1/4}
$$

Now plug in the values:

- $ A = 6 \times 10^{-20} \, \text{J} \, \text{nm}^3 $
- $ B = 2.1 \times 10^{-22} \, \text{J} \, \text{nm}^7 $

$$
r = \left( \frac{7 \cdot 2.1 \times 10^{-22}}{3 \cdot 6 \times 10^{-20}} \right)^{1/4}
$$

$$
r = \left( \frac{14.7 \times 10^{-22}}{18 \times 10^{-20}} \right)^{1/4}
$$

$$
r = \left( \frac{14.7}{18} \times 10^{-2} \right)^{1/4}
$$

$$
r = (0.8167 \times 10^{-2})^{1/4}
$$

$$
r \approx 0.008167^{0.25}
$$

Now compute:

$$
0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25}
$$

Let’s compute this numerically:

$$
0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25} \approx 0.008167^{0.25}
$$

So, the equilibrium distance is approximately:

$$
\boxed{0.01} \, \text{nm}
$$

### Final Answer: **A**",No.
9.2 to 9.6,"To find the zero-point energy of an electron in a box of width $ 0.2 \, \text{nm} $, we use the formula for the energy levels of a particle in a one-dimensional box:

$$
E_n = \frac{n^2 h^2}{8 m L^2}
$$

where:
- $ n = 1 $ (ground state),
- $ h = 6.63 \times 10^{-34} \, \text{J s} $,
- $ m = 9.11 \times 10^{-31} \, \text{kg} $,
- $ L = 0.2 \, \text{nm} = 0.2 \times 10^{-9} \, \text{m} $.

Plugging in the values:

$$
E_1 = \frac{1^2 \cdot (6.63 \times 10^{-34})^2}{8 \cdot 9.11 \times 10^{-31} \cdot (0.2 \times 10^{-9})^2}
$$

$$
E_1 = \frac{(6.63^2 \cdot 10^{-68})}{8 \cdot 9.11 \times 10^{-31} \cdot 4 \times 10^{-18}}
$$

$$
E_1 = \frac{44.0 \cdot 10^{-68}}{3.248 \cdot 10^{-49}}
$$

$$
E_1 \approx 13.6 \, \text{eV}
$$

The zero-point energy is approximately **13.6 eV**. Rounded to 1 decimal place, the answer is:

**A**.",No.
157 to 159,"We are given:

- **Coefficient of thermal expansion (α)** = $7.5 \times 10^{-6} \, ^\circ\text{C}^{-1}$
- **Modulus of elasticity (E)** = $200 \, \text{GPa} = 200 \times 10^9 \, \text{Pa}$
- **Maximum compressive stress (σ_max)** = 200 MPa = 200 × 10⁹ Pa
- **Temperature range (T_f - T_i)** = $T_f - 25^\circ C$
- **Material is dimensionally constrained**, so the **compressive stress is equal to the applied stress** during thermal cycling.

### Step 1: Use the formula for thermal stress

The thermal stress $ \sigma $ is given by:

$$
\sigma = \alpha \cdot \Delta T \cdot E
$$

We are told that the material will fail when:

$$
\sigma = \sigma_{\text{max}} = 200 \, \text{MPa} = 200 \times 10^9 \, \text{Pa}
$$

So:

$$
\Delta T = \frac{\sigma}{\alpha \cdot E}
$$

Substitute the known values:

$$
\Delta T = \frac{200 \times 10^9}{7.5 \times 10^{-6} \cdot 200 \times 10^9}
$$

$$
\Delta T = \frac{200}{7.5 \cdot 200} = \frac{1}{7.5} \approx 0.1333 \, ^\circ\text{C}
$$

### Step 2: Calculate the final temperature $ T_f $

$$
T_f = T_i + \Delta T = 25^\circ C + 0.1333 \approx 25.1333^\circ C
$$

Rounded to the **nearest integer**, the answer is:

$$
\boxed{25}
$$

### ✅ Final Answer: **B**",No.
1.9 to 2.1,"Given:

- $ \gamma_{\text{sl}} = 0.18 \, \text{J.m}^{-2} $
- $ \Delta G_v = T_s = 0.18 \times 10^9 \, \text{J.m}^{-3} $
- $ T_s $ is **below** the melting point $ T_m $

We are asked to find the **radius of critical nucleus** $ r $ at temperature $ T_s $, in **nanometers (nm)**.

---

### Step 1: Use the relationship between critical nucleus radius and volume change

The formula for the radius of a critical nucleus in a solidification process is:

$$
r = \frac{4 \cdot \gamma_{\text{sl}} \cdot \Delta G_v}{\pi \cdot T_s}
$$

Substitute the values:

$$
r = \frac{4 \cdot 0.18 \cdot (0.18 \times 10^9)}{\pi \cdot 0.18 \times 10^9}
$$

Simplify:

$$
r = \frac{4 \cdot 0.18 \cdot 0.18 \cdot 10^9}{\pi \cdot 0.18 \cdot 10^9}
= \frac{4 \cdot 0.18}{\pi}
$$

$$
r = \frac{0.72}{\pi} \approx \frac{0.72}{3.1416} \approx 0.229 \, \text{nm}
$$

---

### Final Answer:

$$
\boxed{A}
$$",No.
B,"The correct answer is: **A**. 

**Explanation:**  
Larger grains in thin films are typically formed when the deposition rate is **low** and the **substrate temperature is also low**. This allows for more time for the material to deposit, resulting in larger grains. 

The other options do not favor larger grains:  
- (B) Low deposition rate and high substrate temperature → smaller grains  
- (C) High deposition rate and low substrate temperature → smaller grains  
- (D) High deposition rate and high substrate temperature → larger grains (unlikely as it would favor smaller grains).  

Answer: **A**.",no
B; D,"The correct answer is: **C**

**Explanation:**  
The critical size of the solid nuclei is **larger** for solidification at 400 °C compared to 500 °C. This is because the critical size is inversely proportional to the melting point. A higher melting point means the metal solidifies at a **lower** temperature, which implies a **larger** critical size needed to initiate solidification.  

Thus, the correct answer is: **C**.",No.
C,"The correct answer is: **C**.

**Explanation**:  
For a glass marginally below its glass transition temperature, the **glass phase** has **lower entropy** than the **crystalline phase** and **higher entropy** than the **liquid phase**. This is because:

- The **glass transition** is defined as the temperature at which the material transitions from a **glassy** (amorphous) to a **crystalline** state.
- Below this temperature, the material is in a **glassy** state, which has **lower entropy** than the crystalline phase.
- Above this temperature, the material becomes **liquid**, which has **higher entropy** than the glass phase.

Thus, the correct answer is **C**.",yes
4.8 to 4.9,"To determine the thickness of the germanium crystal layer required for absorbing **80%** of the incident radiation, we use the Beer-Lambert Law:

$$
A = \alpha \cdot l
$$

where:
- $ A $ is the absorption coefficient (in units of $ \text{m}^{-1} $),
- $ \alpha $ is the absorption coefficient of germanium at 1.3 µm (in $ \text{m}^{-1} $),
- $ l $ is the thickness of the crystal layer (in meters),
- $ A $ is the absorption (in units of $ \text{m}^{-1} \cdot \text{m} = \text{m}^{-1} \cdot \text{m} = \text{m} $, which is the same as the incident radiation wavelength).

Given:
- $ A = 80\% = 0.8 $,
- $ \alpha = 3.3 \times 10^5 \, \text{m}^{-1} $,
- Wavelength $ \lambda = 1.3 \, \mu\text{m} = 1.3 \times 10^{-6} \, \text{m} $.

We solve for $ l $:

$$
l = \frac{A}{\alpha} = \frac{0.8}{3.3 \times 10^5}
$$

$$
l \approx 2.424 \times 10^{-6} \, \text{m} = 2.424 \, \mu\text{m}
$$

### Final Answer: **C** (2.424 µm)",No.
11.30 : 11.40,"To find the diameter of the titania nanoparticles, we use the formula for the **surface area** of a sphere:

$$
A = 4\pi r^2
$$

Given:
- Specific surface area $ A = 125 \, \text{m}^2/\text{g} $
- Density $ \rho = 4.23 \, \text{g/cm}^3 $
- Surface area per unit mass $ A = 125 \, \text{m}^2/\text{g} = 125 \times 10^6 \, \text{m}^2/\text{g} $

We can rearrange the formula to solve for the radius:

$$
r = \sqrt{\frac{A}{4\pi}}
$$

Substitute the known values:

$$
r = \sqrt{\frac{125 \times 10^6 \, \text{m}^2/\text{g}}{4\pi}} \approx \sqrt{\frac{125 \times 10^6}{12.566}} \approx \sqrt{99,999,999.99} \, \text{m} \approx 99999.9999 \, \text{m}
$$

Convert meters to nanometers (1 m = 10^9 nm):

$$
r \approx 99999.9999 \times 10^9 \, \text{nm} \approx 1.0 \times 10^{14} \, \text{nm}
$$

So, the diameter of the titania nanoparticles is approximately:

$$
\boxed{\text{A}}
$$",No.
59.00 to 60.00,"To find the amount of energy released in a single pulse, we can use the formula:

$$
E = \frac{hc}{\lambda}
$$

Where:
- $ h = 6.6 \times 10^{-34} \, \text{J s} $
- $ c = 3 \times 10^8 \, \text{m s}^{-1} $
- $ \lambda = 500 \, \text{nm} = 500 \times 10^{-9} \, \text{m} $

Substitute the values:

$$
E = \frac{(6.6 \times 10^{-34})(3 \times 10^8)}{500 \times 10^{-9}}
$$

$$
E = \frac{1.98 \times 10^{-25}}{500 \times 10^{-9}} = \frac{1.98 \times 10^{-25}}{5.00 \times 10^{-7}} = 3.96 \times 10^{-19} \, \text{J}
$$

Rounded to 2 decimal places:

$$
\boxed{3.96}
$$

**Answer: B**",No.
1.85 to 2.00,"We are given:

- Planck’s constant: $ h = 6.6 \times 10^{-34} \, \text{J s} $
- Mass of the electron: $ m = 9.1 \times 10^{31} \, \text{kg} $
- Speed of the electron: $ v = 300 \, \text{m/s} $
- Uncertainty in speed: $ \Delta v = 0.01\% = 0.0001 \, \text{m/s} $

We are to find the **fundamental accuracy** with which the **position** of the electron can be determined **simultaneously** with the **speed**.

---

### Step 1: Use the **Heisenberg Uncertainty Principle**

The **Heisenberg Uncertainty Principle** states:

$$
\Delta x \cdot \Delta p \geq \frac{\hbar}{4}
$$

Where:
- $ \Delta x $: uncertainty in position
- $ \Delta p $: uncertainty in momentum

We can use the **kinetic energy** to estimate the momentum $ p $:

$$
p = \sqrt{2mE}
$$

But we can instead use the **maximum value** of the momentum, which is:

$$
p = \hbar \cdot \frac{1}{\Delta v} = \frac{6.6 \times 10^{-34} \cdot 10^{-6}}{0.0001} = \frac{6.6 \times 10^{-40}}{1.0 \times 10^{-4}} = 6.6 \times 10^{-36} \, \text{kg m/s}
$$

Now plug into the Heisenberg Uncertainty Principle:

$$
\Delta x \cdot \Delta p \geq \frac{\hbar}{4}
\Rightarrow \Delta x \geq \frac{\hbar}{4 \Delta p}
$$

$$
\Delta x \geq \frac{1.054 \times 10^{-34}}{4 \cdot 6.6 \times 10^{-36}} = \frac{1.054 \times 10^{-34}}{2.64 \times 10^{-35}} \approx 3.97 \times 10^0 = 3.97 \, \text{m}
$$

---

### ✅ Final Answer:

$$
\boxed{A}
$$",No.
2.10 to 2.35,"To find the de Broglie wavelength $ \lambda $ of an electron accelerated across a 300 kV potential, we use the following formula:

$$
\lambda = \frac{h}{p}
$$

where:
- $ h = 6.63 \times 10^{-34} \, \text{J s} $
- $ p = mv $, the momentum of the electron

Given:
- $ m = 9.11 \times 10^{-31} \, \text{kg} $
- $ v $ is the velocity of the electron accelerated by the 300 kV potential

We first calculate the kinetic energy $ K $ of the electron:

$$
K = e \cdot V = (1.6 \times 10^{-19} \, \text{C}) \cdot (300 \times 10^3 \, \text{V}) = 4.8 \times 10^{-14} \, \text{J}
$$

Then, the momentum $ p $ is:

$$
p = \sqrt{2Km} = \sqrt{2 \cdot 4.8 \times 10^{-14} \cdot 9.11 \times 10^{-31}} = \sqrt{8.7 \times 10^{-44}} \approx 9.33 \times 10^{-22} \, \text{kg m/s}
$$

Finally, the de Broglie wavelength is:

$$
\lambda = \frac{h}{p} = \frac{6.63 \times 10^{-34}}{9.33 \times 10^{-22}} \approx 7.1 \times 10^{-13} \, \text{m}
$$

Rounded to **2 decimal places**, the answer is:

$$
\boxed{A}
$$",No.
